,actr,año_nac,conocido_por,que_hace,premios
1146,Bill Lee Lanndis,,"'The Cover Up', 'My Sister's Date', 'New York Stories 2010', 'Rotten Luck'","Camera and Electrical Department, Cinematographer, Actor",0
1147,Bill Lucas,,'Clue VCR Mystery Game',Actr,0
1148,Bill Lumbert,,"'Division 19', 'Griffey's Theory', 'Age of Ice', 'This Narrow Place'",Actress,0
1149,Bill Mancini,,'2013: Holocaust',"Actor, Producer",0
1150,Bill McCue,1962.0,"'El silenci dels anyells', 'El club de la lucha', 'La meitat fosca', 'Malevolent Ascent'","Actor, Soundtrack",4 wins & 10 nominations
1151,Bill Milner,1995.0,"'Son of Rambow', 'Is Anybody There?', 'Anthropoid', 'X-Men: First Class'",Actor,0
1152,Bill Moseley,1951.0,"'The Devil's Rejects', 'Repo! The Genetic Opera', 'House of 1000 Corpses', 'Night of the Living Dead'","Actor, Producer, Writer",4 wins & 4 nominations
1153,Bill Nunn,1953.0,"'Spider-Man 3', 'Regarding Henry', 'Things to Do in Denver When You're Dead', 'Spider-Man'","Actor, Producer, Soundtrack",2 nominations
1154,Bill Redding,,"'The Evil Three', 'The World's Worst Porn Film', 'Advice', 'Bob and Edgar'","Director, Writer, Actress",0
1155,Bill Sage,1962.0,"'Hap and Leonard', 'We Are What We Are', 'EvenHand', 'American Psycho'",Actor,0
1156,Bill Watterson,,'Dave Made a Maze',"Actor, Director, Writer",0
1157,Bill Weeden,,"'Psycho Ape!', 'Sgt. Kabukiman N.Y.P.D.', 'The Lives of Hamilton Fish', 'Mr. Student Body President'","Actress, Writer, Sound Department",8 nominations
1158,Billy Badd,,'It Has Begun',"Actor, Producer, Director",0
1159,Billy Blair,1971.0,"'Alita: Battle Angel', '3 from Hell', 'Queen of the South', 'Sin City: A Dame to Kill For'","Actress, Additional Crew, Soundtrack",2 wins & 1 nomination
1160,Billy Boyd,1968.0,"'The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Fellowship of the Ring', 'The Lord of the Rings: The Two Towers', 'Seed of Chucky'","Actor, Writer, Director",12 wins & 11 nominations
1161,Billy Bussey,,"'Loki', 'Watchmen', 'Into the Badlands', 'Chuck'",Actor,0
1162,Billy Coyle,,'Kids of the Round Table',Actress,0
1163,Billy Daydoge,1929.0,"'Dr. Quinn, Medicine Woman', 'North', 'Almost Heroes', 'Navajo Blues'",Actor,0
1164,Billy Dee Williams,1937.0,"'Star Wars: Episode V - The Empire Strikes Back', 'Star Wars: Episode VI - Return of the Jedi', 'The Lego Batman Movie', 'Star Wars: Episode IX - The Rise of Skywalker'","Actor, Writer, Soundtrack",Nominated for 1 Primetime Emmy: 7 wins & 10 nominations total
1165,Billy Hayes,1947.0,"'Midnight Express', 'Assassination', 'Cock & Bull Story', 'Amare'","Actor, Writer, Producer",1 nomination
1166,Billy Helmstetler,,"'Inside Scarlett', 'Chickens on Film: Sylvia's Wedding'",Actor,0
1167,Billy Komg,,"'Ripoux contre ripoux', 'Riens du tout'","Actor, Producer, Location Management",0
1168,Billy L. Sullivan,1980.0,"'1492: La conquista del paraíso', 'Rock Star', 'Todo va sobre ruedas', 'Un entrenador de primera'",Actor,0
1169,Billy Lau,1932.0,"'Rover's Big Chance', 'Robot Wrecks', 'Ye Olde Minstrels', 'Kiddie Kure'",Actor,0
1170,Billy Lush,,"'Straw Dogs', 'Dishonored', 'The Black Donnellys', 'Revolution'","Actor, Writer, Director",3 wins & 1 nomination
1171,Billy Shepard,,"'Eating Out', 'Hooked', 'The Joey Bishop Show'",Actor,1 nomination
1172,Billy Taylor,,"'Untitled Paul Wall Project', 'Flipping Out', 'Hollywood Houselift with Jeff Lewis', 'The High School Project'",Actress,0
1173,Billy Wirth,1962.0,"'The Lost Boys', 'MacArthur Park', 'Shutter the Doors', 'Body Snatchers'","Podcast Episode, 2013, 16m",0
1174,Bineesh Kodiyeri,1984.0,"'Neerali', 'Lion', 'Karma Yodha', 'Oppam'","Actor, Director, Writer",4 wins & 1 nomination
1175,Bing Davao,,"'Darna', 'Lo recordaras', 'W', 'Ang probinsyano'","Actress, Writer, Producer",0
1176,Binu Basnet,,"'DristiBhram', 'Pralobhan'","Actress, Additional Crew, Writer",0
1177,Bipasha Basu,1979.0,"'Ajnabee', 'Race', 'Bachna Ae Haseeno', 'Raaz 3'",Actress,0
1178,Birbal,1938.0,"'Sholay', 'Vidhaata', 'Kaali Topi Lal Rumaal', 'Jwaala Daaku'","Actor, Music Department, Additional Crew",0
1179,Birdie Sawyer,,"'Lost in Terra Dimension', 'Cold', 'The Flash Drive', 'Asian American Eyz'd: An Immigrant Comedy Special'","Actor, Camera and Electrical Department, Producer",0
1180,Bita Farahi,1957.0,"'Khoon bazi', 'Parkway', 'A Time in Eternity', 'mona'",Actress,1 nomination
1181,Bjørn Floberg,1947.0,"'Out Stealing Horses', 'Kingsman: The Secret Service', 'I Am Dina', 'Insomnia'",Actor,2 wins & 1 nomination
1182,Björn Granath,1946.0,"'Kingsman: El círculo de oro', 'Millennium 1. Els homes que no estimaven les dones', 'Mal', 'Pelle, el conqueridor'",Actor,2 wins & 1 nomination
1183,Black Prince,,'No hay datos sobre porqué es conocido',"Actress, Additional Crew, Script and Continuity Department",0
1184,Blackie Shou-Liang Ko,,"'Wu hu si hai', 'Armour of God', 'Sang sei chok dai', 'A Better Tomorrow'",Actress,0
1185,Blaine Pennington,,"'Tiger Lily', 'Siodmak', 'People You Know', 'The Eye of Horus'",Actress,0
1186,Blaine Santillan,,'Thee Massacre: Drenched in Blood and Sweat',Actor,0
1187,Blair Fowler,1993.0,"'Sharknado 3', 'Fin de curso', 'NCIS: Los Ángeles', 'One Square Mile'","Actor, Director, Writer",1 win
1188,Blaise Miller,,"'Homestate', 'Agents of S.H.I.E.L.D.', 'Folk Hero & Funny Guy', 'It's a Disaster'","Actor, Director",3 nominations
1189,Blake Prosser,1993.0,"'Super Dingo vs the Pirates', 'Raven's Cabin', 'City Streets', 'I Am Bish'","Writer, Producer",0
1190,Blake Webb,,"'Por trece razones', 'Good Trouble', 'Mentes criminales', 'The Rookie'","Actress, Soundtrack",3 wins & 2 nominations
1191,Blake Wolney,,'No hay datos sobre porqué es conocido',"Actress, Writer, Additional Crew",1 nomination
1192,Blanca Portillo,1963.0,"'Broken Embraces', 'Volver', '7 vidas', 'Maixabel'","Actor, Composer, Writer",0
1193,Blanca Suárez,1988.0,"'El bar', 'El internado', 'La piel que habito', 'El barco'","Actor, Cinematographer, Camera and Electrical Department",0
1194,Blanchard Ryan,,"'Open Water', 'Beerfest', 'Orange Is the New Black', 'Blue Bloods'",Actress,1 nomination
1195,Blanchette Brunoy,1915.0,"'Le mannequin assassiné', 'La bèstia humana', 'Goupi mans roges', 'Le petit Jacques'",Actress,0
1196,Blas García,1942.0,"'La casa al final de la calle', 'Canoa: A Shameful Memory', 'Las poquianchis De los pormenores y otros sucedidos del dominio público que acontecieron a las hermanas de triste memoria a quienes la maledicencia así las bautizó', 'Sor Batalla'",Actor,0
1197,Blas Roca-Rey,1961.0,"'Le gorille', 'Tell It Like a Woman', 'Storia d'amore', 'Valeria medico legale'",Actor,0
1198,Blue De Leon,,"'Flames: The Movie', 'Will of the Heart', 'Ang TV Movie: The Adarna Adventure', 'Praybeyt Benjamin'",Actor,0
1199,Bo Derek,1956.0,"'Bolero', 'Ghosts Can't Do It', 'Tommy Boy', 'Tarzan the Ape Man'","Actress, Producer, Camera and Electrical Department",8 wins & 12 nominations
1200,Bo Samuelsson,,'Insider',Actress,1 nomination
1201,Bo Youngblood,,"'Quédate en casa', 'Navy: Investigación criminal', 'Chicas buenas', 'The Pay Day'",Actress,8 nominations
1202,Bob Bancroft,,"'Parks and Recreation', 'Zenon: Girl of the 21st Century', 'Carnage Park', 'Chicago Hope'","Actor, Writer",0
1203,Bob Child,,"'Smack the Pony', 'Childsplay: The Parting Glass'",Actress,0
1204,Bob Franklin,,"'The Librarians', 'Bad Eggs', 'Introducing Gary Petty', 'Corrections'",Actor,0
1205,Bob Glazier,,"'American Gun', 'Family Snapshot', 'Franklin: A Symphony of Pain', 'Dark Woods'",Actor,0
1206,Bob Gunton,1945.0,"'The Shawshank Redemption', 'Ghostbusters: Afterlife', 'Patch Adams', '24'","Actor, Soundtrack",2 wins & 1 nomination
1207,Bob Hoskins,1942.0,"'El largo Viernes Santo', 'Qui ha enredat en Roger Rabbit?', 'Mona Lisa', 'Super Mario Bros.'","Actor, Director, Producer",Nominated for 1 Oscar: 23 wins & 15 nominations total
1208,Bob Lemmons,,'The Cold Day in Hell',"Actor, Producer, Director",3 wins & 3 nominations
1209,Bob Moore,,"'Last Train Home', 'Tokyo Idols', 'Jingle Bell Rocks!', 'Deprogrammed'",Actress,0
1210,Bob Morrell,,"'Dimensions of Failure', 'Bone to the Dog', 'ENEMY: In the Deep, Dark Corners', 'Haunted'","Actor, Stunts",0
1211,Bob Schneider,1965.0,"'Miss Congeniality', '40 Days and 40 Nights', 'All About Steve', 'The Replacements'",Actor,1 nomination
1212,Bob Streit,,"'Under These Same Stars: The Celadon Affair', 'Unconditional', 'Nobody's Hero', 'Into the Devil's Reach'",Actress,0
1213,Bobbie Au-Yeung,1960.0,"'Hard Boiled', 'House of Spirits', 'Do cheung fung wan', 'Witness to a Prosecution'",Actor,2 wins & 1 nomination
1214,Bobbie Phillips,1968.0,"'The Gandhi Murder', 'Chameleon', 'Chinese Hercules: The Bolo Yeung Story', 'Murder One'",Actress,3 wins
1215,Bobby Andrews,,"'Encantadia', 'Zorro', 'Impostor', 'Mulawin vs Ravena'","Actor, Director, Second Unit Director or Assistant Director",3 wins & 2 nominations
1216,Bobby Brederlow,1961.0,"'Bobby', 'Liebe und weitere Katastrophen', 'Tatort', 'In aller Freundschaft'",Actor,2 wins
1217,Bobby Deol,1969.0,"'Barsaat', 'Aashram', 'Love Hostel', 'Jhoom Barabar Jhoom'",Actress,0
1218,Bobby Rice,,"'The Soul Man', 'After Midnight', 'Remains', 'Rachel Dratch's Late Night Snack'","Actress, Producer, Writer",13 wins & 10 nominations
1219,Bodil Lindorff,1907.0,"'Taxa', 'Den ubetænksomme elsker', 'Alle mand paa dæk', 'Op med lille Martha'",Actress,0
1220,Bodjie Pascua,,"'Metamorphosis', 'Sisa', '24/7', 'Wildflower'","Actor, Sound Department",1 win
1221,Bogdan Benyuk,1957.0,"'Maty apostoliv', 'Likvidatsiya', 'Kapitan Krokus', 'Komu vgoru, komu vniz'",Actor,3 wins & 1 nomination
1222,Bogdan Farcas,,"'Unidentified', 'Watcher', 'Clanul', 'Cartels'",Actor,0
1223,Bogdan Stupka,1941.0,"'Taras Bulba', 'Svoi', 'And a Warm Heart', 'Voditel dlya Very'",Actor,11 wins & 5 nominations
1224,Bojan Dimitrijevic,1973.0,"'Poslednja audijencija', 'The Last Panthers', 'Montevideo, Bog te video!', 'Montevideo, Bog te video!'",Actor,0
1225,Bojana Maljevic,1974.0,"'Dug moru', 'Kalup', 'Otvorena vrata 2', 'The Knife'",Actor,0
1226,Bojo Molina,,"'Hey Babe!', 'Flames: The Movie', 'Oka Tokat', 'Radyo'","Actor, Soundtrack",0
1227,Bon Vibar,,"'Dune Warriors', 'Raiders of the Sun', 'Across the Killing Bay', 'Operation Rogue'","Actress, Producer",0
1228,Bonda Mani,,"'Mazhai', 'Velayudham', 'Manikanda', 'Winner'",Actress,1 nomination
1229,Bonggoy Manahan,,"'Jologs', 'All My Life', 'Minsan, minahal kita', 'Yes, It's Loved If Loved'","Actress, Soundtrack",1 nomination
1230,Bonzo,1948.0,"'The Song Remains the Same', 'El proyecto Adam', 'Godzilla', 'Pequeños guerreros'","Music Department, Actor, Composer",0
1231,Boone Cavender,,"'Beautiful Bunkers', 'Super Secret Bubble Reagan', 'Early Retirement', 'Straitjacket'",Actor,0
1232,Boris Aljinovic,1967.0,"'3 Chinesen mit dem Kontrabass', 'Hamlet_X', 'En el lugar del crimen', 'Noch ein Seufzer und es wird Nacht'","Actress, Director, Soundtrack",Nominated for 1 Primetime Emmy: 2 wins & 8 nominations total
1233,Boris Kamorzin,1966.0,"'The Monk and the Demon', 'Dolgoe proshchanie', 'Tale in the Darkness', 'Gromozeka'","Actress, Soundtrack",14 wins & 9 nominations
1234,Boris Kashev,,"'Good Morning', 'Flowers', 'Comrade Sebastian', 'Red Light'",Actor,0
1235,Boris Komnenic,1957.0,"'Vratice se rode', 'Bolji zivot', 'Montevideo, Bog te video!', 'Bolji zivot'",Actor,0
1236,Boris Milivojevic,1971.0,"'Monument to Michael Jackson', 'Dudes', 'The Fourth Man', 'Idi mi, dodji mi'",Actor,3 wins & 2 nominations
1237,Boris Pankin,,"'The Legend of Hercules', 'In Hell', 'Ninja', 'Double Identity'","Actress, Producer, Second Unit Director or Assistant Director",3 wins & 2 nominations
1238,Borisa Sarafova,,"'Promotion', 'Proslushvane', '105 minutes Sofia - The History of the City'","Producer, Actor, Writer",1 win
1239,Bougart Linares,,"'Vatos Locos', 'Mexican Gangster', 'Who Lives Last', 'Stalking Elvis'",Actress,1 win
1240,Bowen Yang,1990.0,"'High Maintenance', '¿No es romántico?', 'The Outs'","Actor, Soundtrack",4 nominations
1241,Boyan Arsov,,'Promotion',"Actress, Director, Producer",0
1242,Brad Barnes,,"'The Locksmith', 'Sex Guaranteed', 'Open a Vein', 'The Real King Lear'",Actor,0
1243,Brad Bartram,,"'Al límite de la ley', 'CSI: Miami', 'JAG: Alerta roja', 'Scandal: The Big Turn On'",Actor,0
1244,Brad Beyer,1973.0,"'42: La verdadera historia de una leyenda del deporte', 'Le Mans '66', 'La hija del general', 'Jericho'",Actor,1 win
1245,Brad Butcher,1978.0,"'Dorner: Manifesto for Murder', 'Encyclopedia Brown', 'Todo lo que quiero para Navidad', 'Chicas con clase'","Actor, Music Department",0
1246,Brad Carter,1973.0,"'Yellowstone', 'True Detective', 'Hijos de la anarquía', 'Ozark'",Actor,0
1247,Brad Funnell,,"'Night of the Unwed', 'Howard & Betty'","Actor, Writer, Director",5 wins & 4 nominations
1248,Brad Greenquist,,"'Pet Sematary', 'Ali', 'Water for Elephants', 'The Lone Ranger'","Actress, Additional Crew",0
1249,Brad Hodson,,"'Darling', 'Crisis', 'Outcall', 'A Year Without a Summer'",Actor,0
1250,Brad Maule,1951.0,"'Christmas with the Dead', 'Sleep No More', 'Flutter', 'Camino'","Actor, Producer, Production Manager",1 win & 2 nominations
1251,Brad Pitt,1963.0,"'Fight Club', 'Mr. & Mrs. Smith', '12 Monkeys', 'Moneyball'","Actor, Stunts, Soundtrack",3 wins & 1 nomination
1252,Brad Riegel,,"'Dead Ahead', 'The Toilet Angel Adventures'","Additional Crew, Actor",0
1253,Brad Sihvon,1971.0,"'Halloween: Resurrection', 'White noise: Mas allá', 'Scary Movie 4', 'Severed'","Actor, Writer, Director",3 wins & 11 nominations
1254,Brad Yuen,,"'In Memory of Daniel Lee', 'Victoria's Turn', 'The Sled', 'El imperio de neon'",Actress,0
1255,Bradley Bailey,,"'Diggstown', 'Haven', 'The Latest Buzz', 'North/South'",Actor,0
1256,Bradley Bundlie,,"'American Housewife', 'Deviant Love', 'Danny the Manny', 'The Wrong Child'","Actress, Stunts, Producer",0
1257,Bradley Cooper,1975.0,"'Ha nacido una estrella', 'La part positiva de les coses', 'El franctirador', 'La gran estafa americana'",Actress,1 nomination
1258,Braeden Lemasters,1996.0,"'Flock of Four', 'T@gged', '11.22.63', 'The Romanoffs'","Actress, Producer, Director",1 win & 1 nomination
1259,Brahmaji,1965.0,"'Pushpa: The Rise - Part 1', 'Rangasthalam 1985', 'Dookudu', 'Athadu'",Actor,1 win
1260,Branda Lock,,"'Timmy Slays the Talent Show', 'Conviction', 'Grand Cru'","Actor, Camera and Electrical Department, Additional Crew",0
1261,Brandi Jay,,"'Hollywood Envy', 'Twins Blow', 'I Said', 'The Best You Got'","Actress, Producer, Writer",3 wins & 2 nominations
1262,Brando Bakshi,,"'Izzat', 'Ab Kya Hoga', 'Do Rahain', 'Agnichakra'","Actress, Producer, Additional Crew",1 win
1263,Brandon Abad,,'Who? What? Where? Wolf!!!',"Actor, Second Unit Director or Assistant Director, Additional Crew",0
1264,Brandon Farmer,,"'Amityville Webcam', 'Joel D. Wynkoop's the Craiglon Incident III Annihilation', 'Joel D. Wynkoop's 187 Times the Movie', 'VULPES'",Actor,0
1265,Brandon Fields,,"'Bryn Gets a Life', 'Teddy's Party', 'BrothAhood', 'Gilyard'",Actress,0
1266,Brandon Hannan,,"'Priceless', 'The Sopranos', 'You Have the Right to Remain Violent', 'Out of the Fog'",Actor,0
1267,Brandon James Olson,,"'Blackway', 'Replicant', 'The Last Victim', 'A Wife's Nightmare'","Actor, Director, Writer",Nominated for 1 Oscar: 59 wins & 90 nominations total
1268,Brandon Jay McLaren,1982.0,"'Tucker & Dale contra el mal', 'She's the man', 'Graceland', 'The Killing'","Actress, Producer, Director",1 nomination
1269,Brandon Keenan,,"'Body Farm', 'Voz', 'Decompose - Body Farm 2', 'Beth'",Actress,0
1270,Brandon Newman,,"'The Pariah', 'The Big Bingo Bonanza'",Actress,0
1271,Brandon Piskorik,,"'First Wave', 'Made Out Alive', 'Battlestar Galactica: Survive to Fight Fan Film', 'The Sphere'","Actor, Transportation Department",1 win
1272,Brandon Richards,1984.0,"'Law & Order: Special Victims Unit', 'Dark House', 'Meet the Browns', 'Shake'",Actress,0
1273,Brandon Sullivan,,"'Planeta furioso', 'Inside the Mega Twister'",Actor,0
1274,Brandon Trayner,,"'UNLV Massacre', 'Crazy for Love', 'Killers at Play', 'La Llorona'",Actor,0
1275,Brandon W. Jones,1988.0,"'Pretty Little Liars', 'CSI: Crime Scene Investigation', 'The Big Bang Theory', 'Lie to Me'","Actor, Second Unit or Assistant Director",19 wins & 28 nominations
1276,Brandon Walston,,'Caliche Run',Actor,0
1277,Brandy Davis,,"'Sensual Friends', 'Pleasurecraft', 'Carnal Sins', 'Justicia sangrienta'","Actress, Casting Director, Producer",0
1278,Brandy Jenkins,,"'Breakfast Impossible: Series One', 'Star Wars: Don't Go in the Endor Woods', 'Nexus Vegas'",Actor,1 win
1279,Branko Tomovic,1980.0,"'Vampir', '24: Vive otro día', 'L'ultimàtum de Bourne', 'Killing Eve'",Actor,2 nominations
1280,Branscombe Richmond,1955.0,"'The Scorpion King', 'Hard to Kill', 'Mortal Kombat', 'They Live'","Actor, Stunts, Producer",1 win
1281,Bratati Bandyopadhyay,,"'Ananda Niketan', 'Rangeen Gudhooli', 'Prithibir Shesh Station', 'Dr. Munshir Diary'",Actress,0
1282,Braxton Williams,1976.0,"'III', 'Angel Camouflaged', 'Cole Younger & The Black Train', 'Snap Judgment'","Actor, Producer, Director",Nominated for 9 Oscars: 62 wins & 221 nominations total
1283,Braydon Langford,,"'I Loved Her First', 'Sonic the Hedgehog 2', 'Darker Than Night 2: Last Rite', 'The Bargain'",Actor,0
1284,Brea Angelo,,"'Cómo conocí a vuestra madre', 'Castle', 'Doctora en Alabama', 'NCIS: Los Ángeles'",Actor,0
1285,Brea Grant,1981.0,"'12 Hour Shift', 'Torn Hearts', 'Lucky', 'Pandora'","Actor, Writer, Producer",2 wins
1286,Bree Lege,,"'Going Home', 'Enchiridion', 'Hush'",Actor,0
1287,Bree Pavey,1973.0,"'Gossip Boy', 'Cold Case', 'Resurrection Mary', 'One Night Stands'","Writer, Actor, Director",0
1288,Breeanna Judy,,"'The Eagle and the Albatross', 'Christmas with Cookie', 'The Grim Reaper's Daughter', 'Cómo conocí a vuestra madre'",Actor,0
1289,Brenda Bazinet,,"'Shoot the Messenger', 'Pesadillas', 'Catwalk', 'Anne with an E'","Actor, Additional Crew",0
1290,Brenda Blethyn,1946.0,"'Pride & Prejudice Orgullo y prejuicio', 'Secrets i mentides', 'Little Voice', 'El jardín de la alegría'","Actress, Writer, Soundtrack",Nominated for 2 Oscars: 21 wins & 42 nominations total
1291,Brendan Bacon,,"'Knowing', 'Neighbours', 'MDA', 'Bruce'",Actress,0
1292,Brendan Fletcher,1981.0,"'Violent Night', 'The Revenant', 'Tideland', 'The Last of Us'",Actor,0
1293,Brendan McNamara,,"'Even If It's Wrong', 'The Light of Love', 'CMT Most Shocking', 'Hollywood Burn'","Actress, Writer, Sound Department",0
1294,Brendon Garrett,,"'Winning Formula', 'Rescued', 'Frisky', 'Custody Road'","Actor, Director",0
1295,Brennan Priebe,,"'Concrete Valley', 'I Must Be Going', 'Season of the Worm'","Actor, Camera and Electrical Department, Additional Crew",0
1296,Brent Doyle,,"'Stuck Between Stations', 'Factotum', 'Holiday Beach', 'New World Symphony'",Actress,0
1297,Brent Hanson,,"'Spooked in Bridgewater', 'The Heritage Haunting', 'Dawn of the Living: The Last Zombie', 'Found Footage: The Lost Genre'",Actor,0
1298,Brent Spiner,1949.0,"'Star Trek: Primer contacto', 'Independence Day: Contraataque', 'Star Trek: La próxima generación', 'Star Trek: Némesis'","Actor, Director, Writer",2 wins & 6 nominations
1299,Brent Stait,1959.0,"'Andrómeda', 'Destino final 5', 'Tron: Legacy', 'Sentinel'","Actor, Director",1 nomination
1300,Brent Zuber,,"'ShotGaming.com: Reviews', 'Girls Next Door', 'She'",Actor,0
1301,Brett Cabot,,'The Interrogation',Actor,0
1302,Brett Clancy,,"'La ciudad secreta', 'Home and Away', 'Crownies'","Actor, Producer, Director",0
1303,Brett Climo,1964.0,"'A Place to Call Home', 'A Country Practice', 'Underbelly Files: Tell Them Lucifer Was Here', 'Blue Heelers'","Actor, Composer, Producer",0
1304,Brett Halsey,1933.0,"'The Godfather Part III', 'Return of the Fly', 'Le sette spade del vendicatore', 'Desire in the Dust'","TV Series, 2007–, TV-14, 1h",Won 5 BAFTA 9 wins & 26 nominations total
1305,Brett Harrelson,1963.0,"'El escándalo de Larry Flynt', 'Ara em veus', 'Vaya par de idiotas', 'Abierto hasta el amanecer 2: Texas Blood Money'","Actor, Writer, Producer",1 win & 6 nominations
1306,Brett Schmall,,'Among Thieves',"Actor, Director, Writer",3 wins & 3 nominations
1307,Brian Boone,,'No hay datos sobre porqué es conocido',"Actor, Additional Crew",0
1308,Brian Brummitt,,"'Project Hollywood', 'Beautiful Destroyer', 'Deguello', 'Touch'",Actr,0
1309,Brian Capeloto,,"'Blood Bond', 'Noise'","Actress, Casting Department",1 win
1310,Brian Capron,1947.0,"'Coronation Street', 'Emma', '101 Dalmatians', 'Uncle Jack and Operation Green'",Actor,4 wins & 2 nominations
1311,Brian Farmer,,"'Blue Call', 'Waking Nightmare', 'Running with Fear', 'Group'","Actor, Writer, Director",1 win & 1 nomination
1312,Brian Fortune,,'An Irish Exorcism',Actor,0
1313,Brian Foyster,,"'The Next Cassavetes', 'Ephemeral', 'Being', 'Farmed and Dangerous'",Actr,0
1314,Brian Geraghty,,"'En terra hostil', 'Bobby', 'El vol', 'Guardianes de altamar'","Actress, Producer",0
1315,Brian Howe,1957.0,"'The Newsroom', 'La recerca de la felicitat', 'Westworld', 'Vice Principals'","Actor, Producer, Director",1 win
1316,Brian Ly,1973.0,"'Puss in Boots', 'Hop', 'Minions', 'The Secret Life of Pets'",Actor,0
1317,Brian Matlock,,'Sick Perverts',Actor,0
1318,Brian McCarthy,,"'Paterson', 'The Americans', 'The Deuce Las crónicas de Times Square', 'Ley y orden: Unidad de Víctimas Especiales'","Actor, Stunts, Producer",0
1319,Brian McCree,,'No hay datos sobre porqué es conocido',Actress,0
1320,Brian McGill,,"'Call Red', 'Taggart', 'L'histoire du samedi', 'You're Not Home'",Actress,0
1321,Brian Moreno,,"'Entre Sombras', 'El General Naranjo', 'Lady, La Vendedora de Rosas', 'MalaYerba'",Actor,1 win
1322,Brian Murray,1945.0,"'El club de los chalados', 'JFK: Caso abierto', 'Atrapat en el temps', 'Wayne's World: ¡Qué desparrame!'","Actor, Writer, Music Department",Nominated for 3 Primetime Emmys: 1 win & 3 nominations total
1323,Brian Posehn,1966.0,"'Run Ronnie Run', 'The Sarah Silverman Program.', 'Surf's Up', 'Knights of Badassdom'",Actress,0
1324,Brian Ronan Mulroy,1982.0,"'Wrong for Right', 'Criminal', 'Little Bro', 'The Hard Hit'","Actress, Producer",0
1325,Brian Schroeck,,"'White Cop', 'Lake on Fire', 'Bad Attitude'","Actress, Writer, Visual Effects",4 wins
1326,Brian Stokes Mitchell,1957.0,"'El príncep d'Egipte', 'tick, tick... Boom!', 'Ghost dad', 'Trapper John, M.D.'","Actor, Producer, Composer",1 nomination
1327,Brian Sullivan Taylor,,"'In a Sentimental Mood', 'Money and Problems', 'Booked', 'Booked'",Actress,0
1328,Brian Taylor,,"'Crank', 'Happy!', 'Crank: High Voltage', 'Mom and Dad'",Actress,0
1329,Brian Thompson,1959.0,"'Cobra', 'The Terminator', 'Mortal Kombat: Annihilation', 'DragonHeart'","Actor, Director, Writer",2 nominations
1330,Brian Tochi,,"'Las Tortugas Ninja II: El secreto de los mocos verdes', 'Tortugas Ninja', 'La revancha de los novatos', 'Tortugas ninja III'",Actor,0
1331,Brian Ustaszewski,,"'Scribbles from the Crypt: A Journal of Terror', 'The Stranger', 'Wanna Play A Game', 'Pavor Nocturnus'","Actress, Additional Crew, Producer",0
1332,Brian Yang,,"'El hombre de los puños de hierro', 'Someone I Used to Know', 'Linsanity', 'Salvando las apariencias'","Actress, Sound Department, Soundtrack",1 nomination
1333,Briana Bryan,,'No hay datos sobre porqué es conocido',"Actor, Second Unit or Assistant Director, Producer",1 win
1334,Brianna Joy Chomer,1994.0,"'Zoombies', 'Chatterbox', 'Nune', 'The Book of Leah'",Actress,0
1335,Brianna Paige Dague,,"'Year of the Fox', 'Vulture', 'Anamorphosis', 'The Fork'",Actor,1 win & 1 nomination
1336,Brianna Pete,,"'Carvers', 'Taste', 'Imprisoned Souls', 'Carve'",Actor,0
1337,Brianne Moncrief,,"'Not Right Now', 'Els altres dos', 'Todos mis hijos', 'How We Got Away with It'",Actor,0
1338,Brice Beckham,1976.0,"'Mister Belvedere', 'I Hate My 30's', 'Hollywood Adventures', 'Mr Robinson's Driving School'","Actor, Producer, Writer",1 win & 9 nominations
1339,Bridget McNamara,,"'Fires', 'La Brea', 'Quiéreme', 'The Clearing'","Actor, Producer",2 wins & 2 nominations
1340,Brielle Fitzgerald,,"'The Water Within', 'Bunny', 'Legend of Takawa'","Actor, Director, Writer",2 wins
1341,Brigitta Kanyaro,,"'Liniste', 'Letzter Wille', 'Stille Post', 'The Taster'","Actress, Costume and Wardrobe Department, Second Unit Director or Assistant Director",0
1342,Brigitte Antonius,1933.0,"'Rote Rosen', 'Come Sweet Death', 'Einmal noch die Heimat seh'n', 'Tatort'",Actor,1 win & 3 nominations
1343,Brigitte Lin,1954.0,"'Police Story', 'Chungking Express', 'Ashes of Time', 'Red Dust'",Actress,6 wins & 7 nominations
1344,Brijendra Kala,,"'Paan Singh Tomar', 'Zero', 'Sherni', 'Ankhon Dekhi'","Actor, Production Designer, Composer",0
1345,Brinn Abbate,,"'Dropouts', 'Promiseland', 'Phone Swap'",Actress,0
1346,Briony Glassco,,"'Chasing Liberty', 'Rookie Blue', 'Patlabor 2: The Movie', 'Patlabor: The Movie'","Actor, Producer, Writer",1 nomination
1347,Brishen Miller,,"'The Mountain Kings', 'Slam'","Manager, Producer",0
1348,Brita Tschokkinen,,'Uhripuu - The Sacrifice Tree',Actr,0
1349,Britain Durham,,"'The Wizard of Oz', '20,000 Leagues Under the Sea'",Actor,3 nominations
1350,Britani Bateman,,"'Forever Strong', 'Skinwalker Ranch', 'The Eleventh Hour', 'The Cold Ground'",Actor,0
1351,Britta Hart,,"'Alone: The Skills Challenge', 'Alone'",Actor,0
1352,Britta Jakobi,,"'Anti Cupido', 'Unter uns', 'Fritz Lang', 'Rosenstrasse'",Actress,0
